"BehaviorSpace results (NetLogo 6.3.0)"
"Fire.nlogo"
"Critical density example"
"02/03/2023 01:46:32:253 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","resultants?","probability-of-spread","west-wind-speed","slow-to-burn-ratio","slow-to-burn?","south-wind-speed","burning-neighbors-needed","road?","[step]","((count patches with [pcolor = 11.5] ) / initial-trees) * 100"
"5","3","false","60","10","20","true","0","1","true","1","0.15568240788790866"
"1","1","false","60","10","20","true","0","1","true","1","0.4702194357366771"
"3","2","false","60","10","20","true","0","1","true","1","0.08051529790660225"
"9","5","false","60","10","20","true","0","1","true","3","0.4341085271317829"
"7","4","false","60","10","20","true","0","1","true","2","0.33167495854063017"
"8","4","false","60","10","20","true","0","1","false","1","0.27079303675048355"
"2","1","false","60","10","20","true","0","1","false","1","0.1697792869269949"
"4","2","false","60","10","20","true","0","1","false","3","0.39745627980922094"
"6","3","false","60","10","20","true","0","1","false","3","0.5313496280552604"
"10","5","false","60","10","20","true","0","1","false","3","0.31887755102040816"
"11","6","false","60","10","20","true","0","1","true","1","0.3943217665615142"
"18","9","false","60","10","20","true","0","1","false","3","0.3702397743300423"
"12","6","false","60","10","20","true","0","1","false","2","0.41917736442232123"
"16","8","false","60","10","20","true","0","1","false","4","0.3909304143862392"
"15","8","false","60","10","20","true","0","1","true","4","0.4017677782241864"
"14","7","false","60","10","20","true","0","1","false","3","0.33982782057091077"
"13","7","false","60","10","20","true","0","1","true","3","0.5861136158701533"
"17","9","false","60","10","20","true","0","1","true","3","0.35335689045936397"
"19","10","false","60","10","20","true","0","1","true","3","0.38461538461538464"
"20","10","false","60","10","20","true","0","1","false","3","0.36289050173556325"
"22","11","false","60","10","20","true","0","1","false","3","0.29027576197387517"
"24","12","false","60","10","20","true","0","1","false","4","0.3812779384696292"
"23","12","false","60","10","20","true","0","1","true","2","0.29239766081871343"
"26","13","false","60","10","20","true","0","1","false","5","0.42341220423412207"
"25","13","false","60","10","20","true","0","1","true","3","0.38364704471885863"
