	[run number]	density	probability-of-spread	percentage burned
probability-of-spread:				Average:
0				0.397272770470366
	1	65	0	0.38304828360211800
	2	65	0	0.4274652531815630
	3	65	0	0.36509675063891900
	4	65	0	0.421735208795495
	5	65	0	0.39479456060827600
	6	65	0	0.40498670374978700
	7	65	0	0.421310471524801
	8	65	0	0.374403523797871
	9	65	0	0.38503716339710000
	10	65	0	0.3948497854077250
5				0.445434485875597
	11	65	5	0.4167783762704430
	12	65	5	0.45407939065475300
	13	65	5	0.47469903102672000
	14	65	5	0.4624163715072810
	15	65	5	0.44542887742186700
	16	65	5	0.44921875000000000
	17	65	5	0.4485398079079520
	18	65	5	0.4179089887091260
	19	65	5	0.4478193146417450
	20	65	5	0.43745595061608400
10				0.503768585131176
	21	65	10	0.4809933986110090
	22	65	10	0.5144710213834640
	23	65	10	0.48178038640254300
	24	65	10	0.5278979397316520
	25	65	10	0.4926468794966220
	26	65	10	0.5395771277894430
	27	65	10	0.5133595717114430
	28	65	10	0.4809911332442610
	29	65	10	0.5192082683307330
	30	65	10	0.48676012461059200
15				0.600263075022859
	31	65	15	0.6262537306130440
	32	65	15	0.6692137346993410
	33	65	15	0.6056183874498360
	34	65	15	0.626713670191931
	35	65	15	0.5263286142449870
	36	65	15	0.5781333853734690
	37	65	15	0.5787687123006670
	38	65	15	0.6034988272087570
	39	65	15	0.5500577069469340
	40	65	15	0.6380439811996200
20				0.728434780813819
	41	65	20	0.8107121119902620
	42	65	20	0.7022953066118530
	43	65	20	0.8059395301128320
	44	65	20	0.8343671702060380
	45	65	20	0.7032108411671350
	46	65	20	0.7286598038975960
	47	65	20	0.6380439811996200
	48	65	20	0.755029470505139
	49	65	20	0.653274938220254
	50	65	20	0.6528146542274620
25				0.9002317791165950
	51	65	25	0.7726539195070660
	52	65	25	0.9107512480214290
	53	65	25	0.9209853080915140
	54	65	25	0.9140231682877950
	55	65	25	0.9330499987787300
	56	65	25	0.9960451149846200
	57	65	25	1.1079185740722700
	58	65	25	0.7529239766081870
	59	65	25	0.9056069519369250
	60	65	25	0.7883595308774150
30				1.36333839594744
	61	65	30	1.3415917937669800
	62	65	30	1.4634265717152400
	63	65	30	1.4780611746311000
	64	65	30	1.1899806566930300
	65	65	30	1.532352367959460
	66	65	30	1.2508534087584100
	67	65	30	1.62350402197371
	68	65	30	1.230520830785040
	69	65	30	1.1076182523699600
	70	65	30	1.4154748808214200
35				2.06430659086253
	71	65	35	1.8591810808169600
	72	65	35	2.5117091756255000
	73	65	35	1.8088737201365200
	74	65	35	2.287533676218470
	75	65	35	2.0505693316753200
	76	65	35	1.9493130067485600
	77	65	35	2.3574869775745300
	78	65	35	2.0345012426295000
	79	65	35	1.9105790373808900
	80	65	35	1.8733186598190300
40				3.77320794939051
	81	65	40	2.8614715441194400
	82	65	40	4.44580227300501
	83	65	40	2.8846626369846200
	84	65	40	5.247505284373000
	85	65	40	4.386415315777890
	86	65	40	3.0595537743456900
	87	65	40	4.13754337944181
	88	65	40	3.7152760826050900
	89	65	40	4.206631286820200
	90	65	40	2.787217916432360
45				15.7285044081022
	91	65	45	15.34399295877950
	92	65	45	13.159377679774600
	93	65	45	15.377642764398900
	94	65	45	19.136193212251100
	95	65	45	14.185836164959500
	96	65	45	13.527183872938300
