	[run number]	density	probability-of-spread	slow-to-burn-ratio	percentage burned
slow-to-burn-ratio:					
0					
probability-of-spread:					Average:
0					0.394840231781935
	1	60	0	0	0.38622295116660500
	2	60	0	0	0.3998305354022140
	3	60	0	0	0.39463926263375400
	4	60	0	0	0.4048263715464890
	5	60	0	0	0.4085074980892390
	6	60	0	0	0.4175917115974210
	7	60	0	0	0.38707282801771000
	8	60	0	0	0.3777672108627890
	9	60	0	0	0.3988194942968810
	10	60	0	0	0.3731244542062510
5					0.422454509772221
	61	60	5	0	0.4427359490986210
	62	60	5	0	0.4472129052866950
	63	60	5	0	0.406040179400759
	64	60	5	0	0.3751849503276260
	65	60	5	0	0.4131903059197460
	66	60	5	0	0.43096610438369200
	67	60	5	0	0.4163263155121080
	68	60	5	0	0.4215962688730210
	69	60	5	0	0.42226589472566000
	70	60	5	0	0.4490262241942770
10					0.504319654923981
	121	60	10	0	0.4947071652747490
	122	60	10	0	0.4875349180414270
	123	60	10	0	0.4732783834086680
	124	60	10	0	0.5172413793103450
	125	60	10	0	0.49117988803211200
	126	60	10	0	0.5228339735381990
	127	60	10	0	0.5290585403274870
	128	60	10	0	0.519880109280921
	129	60	10	0	0.4888676337743770
	130	60	10	0	0.518614558251528
15					0.5784225710167440
	181	60	15	0	0.5536863856730340
	182	60	15	0	0.6017418844022170
	183	60	15	0	0.5077618808346340
	184	60	15	0	0.5471883549818050
	185	60	15	0	0.5397539357057810
	186	60	15	0	0.5959633416326750
	187	60	15	0	0.5724280489744000
	188	60	15	0	0.5642384105960270
	189	60	15	0	0.5847029077117570
	190	60	15	0	0.7167605596551090
20					0.646772452962828
	241	60	20	0	0.6054357021996620
	242	60	20	0	0.5938651607942950
	243	60	20	0	0.7153644384389160
	244	60	20	0	0.6548546381135960
	245	60	20	0	0.736111846634539
	246	60	20	0	0.5954912803062530
	247	60	20	0	0.7466440731817100
	248	60	20	0	0.6197526286516410
	249	60	20	0	0.5889062790142450
	250	60	20	0	0.6112984822934230
25					0.824322477931498
	301	60	25	0	0.8183738120380150
	302	60	25	0	0.8938664984094440
	303	60	25	0	0.774764803541782
	304	60	25	0	0.8473907208084420
	305	60	25	0	0.6934335547733110
	306	60	25	0	0.8936550491510280
	307	60	25	0	0.8293807467076500
	308	60	25	0	0.7514435626334800
	309	60	25	0	0.9195281506975280
	310	60	25	0	0.8213878805543040
30					1.1623181492462700
	361	60	30	0	1.0532984873683400
	362	60	30	0	1.0969017798286100
	363	60	30	0	1.1654085551582600
	364	60	30	0	1.0893130981968200
	365	60	30	0	1.0225595614589900
	366	60	30	0	1.0968439370369400
	367	60	30	0	1.3350286077558800
	368	60	30	0	1.2077486191495500
	369	60	30	0	1.3497745955979800
	370	60	30	0	1.2063042509112800
35					1.56921178462959
	421	60	35	0	1.5423755764032400
	422	60	35	0	1.4543431614082500
	423	60	35	0	1.4339383036139500
	424	60	35	0	1.8444350758853300
	425	60	35	0	1.2850282336798800
	426	60	35	0	1.428458268423420
	427	60	35	0	2.169082636758020
	428	60	35	0	1.4557345921569700
	429	60	35	0	1.5494826213849800
	430	60	35	0	1.529239376581860
40					2.01947259355949
	481	60	40	0	2.8554022196911500
	482	60	40	0	2.3846786386906800
	483	60	40	0	1.7431679490581100
	484	60	40	0	2.1887752398113300
	485	60	40	0	1.8083949831623000
	486	60	40	0	1.763270933870710
	487	60	40	0	2.1243344899743100
	488	60	40	0	1.9567104121189800
	489	60	40	0	1.972553478410320
	490	60	40	0	1.397437590807030
45					4.2353592444003
	541	60	45	0	4.323448129251700
	542	60	45	0	5.182854271888310
	543	60	45	0	4.750976047272340
	544	60	45	0	5.859530706066810
	545	60	45	0	3.19541928333949
	546	60	45	0	6.334206834484770
	547	60	45	0	3.4733760582324600
	548	60	45	0	1.972967949228600
	549	60	45	0	4.013749338974090
	550	60	45	0	3.2470638252643900
50					14.1493027103792
	601	60	50	0	20.21529834955570
	602	60	50	0	16.61254125412540
	603	60	50	0	13.408650913623500
	604	60	50	0	13.816976127321000
	605	60	50	0	11.134069776682800
	606	60	50	0	20.31481090217620
	607	60	50	0	11.608584054404500
	608	60	50	0	3.4028365791701900
	609	60	50	0	11.87671196447090
	610	60	50	0	19.102547182262100
55					68.5210052210587
	661	60	55	0	80.40029612394900
	662	60	55	0	77.81828749570690
	663	60	55	0	77.35064246920120
	664	60	55	0	76.69290090851470
	665	60	55	0	74.59901540416070
	666	60	55	0	15.423706265797500
	667	60	55	0	63.25666340223920
	668	60	55	0	81.26220252229430
	669	60	55	0	71.85690217963570
	670	60	55	0	66.54943543908820
60					89.7652558253349
	721	60	60	0	90.87050511441530
	722	60	60	0	87.04018259992570
	723	60	60	0	90.4671165806537
	724	60	60	0	90.0441600338472
	725	60	60	0	89.65371621621620
	726	60	60	0	90.32215369139950
	727	60	60	0	90.88194884802370
	728	60	60	0	89.96562665256480
	729	60	60	0	90.06428834905410
	730	60	60	0	88.34286016724890
65					94.4070616677994
	781	60	65	0	94.92839937531430
	782	60	65	0	94.58543943684340
	783	60	65	0	93.8991337620237
	784	60	65	0	94.86922060766180
	785	60	65	0	94.51304599668260
	786	60	65	0	94.76280935043010
	787	60	65	0	94.75977919230870
	788	60	65	0	94.53671674896360
	789	60	65	0	93.80889359449450
	790	60	65	0	93.40717861327080
70					96.625146078469
	841	60	70	0	96.34613339006490
	842	60	70	0	96.6174482411261
	843	60	70	0	96.68141006965600
	844	60	70	0	96.64327858395790
	845	60	70	0	96.44643327191370
	846	60	70	0	96.60972196551630
	847	60	70	0	96.61250198486210
	848	60	70	0	97.08378499854590
	849	60	70	0	96.56767606944410
	850	60	70	0	96.6430722096033
75					97.98206777522800
	901	60	75	0	98.10372642881700
	902	60	75	0	98.07697394524530
	903	60	75	0	98.14032121724430
	904	60	75	0	97.84422256945370
	905	60	75	0	97.99158529808690
	906	60	75	0	98.13661303575690
	907	60	75	0	98.19651413827600
	908	60	75	0	97.53184502529060
	909	60	75	0	97.77026847244770
	910	60	75	0	98.02860762166160
80					98.82904149502520
	961	60	80	0	98.65242616033750
	962	60	80	0	98.93769206315570
	963	60	80	0	98.76399130019630
	964	60	80	0	98.97002753653890
	965	60	80	0	98.85373197401090
	966	60	80	0	98.83135897777190
	967	60	80	0	98.91310096789550
	968	60	80	0	98.86206896551730
	969	60	80	0	98.88257825914680
	970	60	80	0	98.62343874568160
85					99.284345562915
	1021	60	85	0	99.20277571776670
	1022	60	85	0	99.28405368276450
	1023	60	85	0	99.22875089448990
	1024	60	85	0	99.35220092391020
	1025	60	85	0	99.21347128378380
	1026	60	85	0	99.2525204160349
	1027	60	85	0	99.350048878438
	1028	60	85	0	99.38682736018610
	1029	60	85	0	99.2861297657448
	1030	60	85	0	99.28667670603150
90					99.4762962180402
	1081	60	90	0	99.25868848974390
	1082	60	90	0	99.54903874047310
	1083	60	90	0	99.49219684683490
	1084	60	90	0	99.35714285714290
	1085	60	90	0	99.55634663407900
	1086	60	90	0	99.43670166344910
	1087	60	90	0	99.47581288914910
	1088	60	90	0	99.55935512810370
	1089	60	90	0	99.4299501537809
	1090	60	90	0	99.64772877764540
95					99.7121257222917
	1141	60	95	0	99.651512330079
	1142	60	95	0	99.74478385560560
	1143	60	95	0	99.74955843197220
	1144	60	95	0	99.72293321371090
	1145	60	95	0	99.75022348425090
	1146	60	95	0	99.75954551459900
	1147	60	95	0	99.72526746796990
	1148	60	95	0	99.63698031214400
	1149	60	95	0	99.66178724303760
	1150	60	95	0	99.7186653695475
100					99.83790260185060
	1201	60	100	0	99.83792544570500
	1202	60	100	0	99.77816510854060
	1203	60	100	0	99.84869800652990
	1204	60	100	0	99.79333368660910
	1205	60	100	0	99.85411914487300
	1206	60	100	0	99.81732016626510
	1207	60	100	0	99.87282409983310
	1208	60	100	0	99.81687898089170
	1209	60	100	0	99.87355110642780
	1210	60	100	0	99.88621027283070
20					
probability-of-spread:					Average:
0					0.325195222940184
	11	60	0	20	0.35031847133758000
	12	60	0	20	0.2945390861327810
	13	60	0	20	0.33467731309457900
	14	60	0	20	0.3206572147873330
	15	60	0	20	0.2957095709570960
	16	60	0	20	0.3173847496627790
	17	60	0	20	0.3422113752122240
	18	60	0	20	0.3190810465858330
	19	60	0	20	0.35656315691439800
	20	60	0	20	0.32081024471723600
5					0.371117527472959
	71	60	5	20	0.360953761032802
	72	60	5	20	0.38829309525067400
	73	60	5	20	0.35585298491608200
	74	60	5	20	0.336620644312952
	75	60	5	20	0.3894060224575250
	76	60	5	20	0.37418640807399400
	77	60	5	20	0.39088292000105600
	78	60	5	20	0.36612543775867600
	79	60	5	20	0.38070059484467900
	80	60	5	20	0.36815340608115300
10					0.420187999441423
	131	60	10	20	0.35672761864496400
	132	60	10	20	0.4066853829402040
	133	60	10	20	0.41334357860152100
	134	60	10	20	0.4209741020995420
	135	60	10	20	0.42601608806096500
	136	60	10	20	0.4118178436686330
	137	60	10	20	0.430530456043372
	138	60	10	20	0.45402649815468800
	139	60	10	20	0.4379831666710640
	140	60	10	20	0.4437752595292810
15					0.493936182768619
	191	60	15	20	0.5771815618164090
	192	60	15	20	0.5770401545832340
	193	60	15	20	0.49158231360837300
	194	60	15	20	0.458377239199157
	195	60	15	20	0.5469797775264940
	196	60	15	20	0.48906865466465800
	197	60	15	20	0.4754609329600080
	198	60	15	20	0.39311909661759300
	199	60	15	20	0.4512515594723010
	200	60	15	20	0.47930053723796500
20					0.658928552605231
