[run number];density;west-wind-speed;percentage burned;Average percentage burned
1;50;-25;4,2134831461;4,59351362162295
2;50;-25;3,9879367320;
3;50;-25;4,5457433291;
4;50;-25;5,7930330484;
5;50;-25;5,3211298722;
6;50;-25;5,6865995155;
7;50;-25;5,9018800472;
8;50;-25;3,5829371790;
9;50;-25;3,2954400307;
10;50;-25;3,6069533162;
11;50;0;8,4779407056;7,16197364433763
12;50;0;5,0079744817;
13;50;0;5,5779183439;
14;50;0;5,6707588576;
15;50;0;5,6959396863;
16;50;0;9,7987135588;
17;50;0;5,0052636616;
18;50;0;7,9795347655;
19;50;0;6,3131715716;
20;50;0;12,0925208108;
21;50;25;8,9467005076;10,4385244842024
22;50;25;13,9108280255;
23;50;25;12,8763551966;
24;50;25;7,4491244676;
25;50;25;10,3554427166;
26;50;25;8,3057430281;
27;50;25;13,9558781028;
28;50;25;12,3637980876;
29;50;25;7,3732572877;
30;50;25;8,8481174218;
31;55;-25;45,8806362177;22,8448229001501
32;55;-25;17,7837822133;
33;55;-25;32,4464519889;
34;55;-25;8,9528053474;
35;55;-25;12,1903879023;
36;55;-25;23,7463041336;
37;55;-25;22,9494831853;
38;55;-25;11,3550888156;
39;55;-25;37,5144877144;
40;55;-25;15,6288014829;
41;55;0;43,6579448969;38,41373678641
42;55;0;48,1681159420;
43;55;0;49,3358029694;
44;55;0;59,6425868793;
45;55;0;57,6754132470;
46;55;0;9,0418118467;
47;55;0;17,5858450417;
48;55;0;46,4915583099;
49;55;0;29,7950772089;
50;55;0;22,7432115223;
51;55;25;71,4570973810;64,3549213448697
52;55;25;72,9759553955;
53;55;25;70,8032791634;
54;55;25;53,2654668495;
55;55;25;62,1596704025;
56;55;25;58,3425062279;
57;55;25;65,9163894113;
58;55;25;51,7879838244;
59;55;25;73,1261743026;
60;55;25;63,7146904906;
